# path	label
# Labels are semantic gold, not the current checker output.
../examples/ok-affine-drop.js	ACCEPT
../examples/ok-branch-consume.js	ACCEPT
../examples/ok-clone.js	ACCEPT
../examples/ok-copy.js	ACCEPT
../examples/ok-copy.ts	ACCEPT
../examples/ok-create-in-loop.js	ACCEPT
../examples/ok-lifetime-scope.js	ACCEPT
../examples/ok-mut-borrow.js	ACCEPT
../examples/ok-prelude-buffer-tostring.js	ACCEPT
../examples/ok-prelude-console.js	ACCEPT
../examples/ok-prelude-handle-close.js	ACCEPT
../examples/ok-readonly-borrow.js	ACCEPT
../examples/ok-unique-move.js	ACCEPT
../examples/err-affine-use-after-move.js	REJECT:use-after-move
../examples/err-borrow-after-move.js	REJECT:borrow-after-move
../examples/err-borrow-escape.js	REJECT:borrow-escape
../examples/err-branch-inconsistent.js	REJECT:branch-inconsistent
../examples/err-consume-in-loop.js	REJECT:consume-in-loop
../examples/err-consume-while-borrowed.js	REJECT:consume-while-borrowed
../examples/err-overlapping-mut.js	REJECT:mut-borrow-conflict
../examples/err-prelude-buffer-forget.js	REJECT:unique-forget
../examples/err-readonly-mut-conflict.js	REJECT:mut-borrow-conflict
../examples/err-unique-double-move.js	REJECT:double-move
../examples/err-unique-forget.js	REJECT:unique-forget
../examples/err-unique-use-after-move.js	REJECT:use-after-move
fixtures/accept-member-path.js	ACCEPT
fixtures/reject-unknown-call.js	REJECT:use-after-move
fixtures/reject-discarded-local-return.js	REJECT:unique-forget
fixtures/out-of-domain-eval.js	OUT_OF_DOMAIN:unmapped
fixtures/reject-shadowed-outer-forgotten.js	REJECT:unique-forget
fixtures/reject-destructured-param-index.js	REJECT:unique-forget
fixtures/accept-fs-callback-bound.js	ACCEPT
fixtures/accept-shadowed-noncapture.js	ACCEPT
fixtures/out-of-domain-actual-capture.js	OUT_OF_DOMAIN:unmapped
fixtures/accept-lexically-resolved-callee.js	ACCEPT
fixtures/reject-assignment-loses-ownership.js	REJECT:unique-forget
fixtures/reject-aggregate-store-forget.js	REJECT:unique-forget
fixtures/reject-optional-call-then-reuse.js	REJECT:use-after-move
fixtures/accept-known-optional-call-only.js	ACCEPT
fixtures/reject-unknown-optional-method-only.js	REJECT:unique-forget
fixtures/accept-local-drop-directive.js	ACCEPT
fixtures/reject-local-kind-directive.js	REJECT:unique-forget
fixtures/reject-local-let-directive.js	REJECT:unique-forget
fixtures/reject-namespace-bare-cross-pollution.ts	REJECT:unique-forget
fixtures/accept-namespace-does-not-pollute-root.ts	ACCEPT
fixtures/accept-namespace-local-does-not-pollute-qualified.ts	ACCEPT
fixtures/reject-namespace-local-does-not-hide-qualified.ts	REJECT:unique-forget
